filename,transcript,romanized
NP_077.wav,भोलि छुट्टी छ कि काम छ?,Bholi chutti chha ki kaam chha?
NP_078.wav,तपाईंले भोलिको लागि के प्लान गर्नु भएको छ?,Tapaaeinle bholiko lagi ke plan garnu bhayeko chha?
NP_079.wav,आज नयाँ कुरा सिक्नुभयो?,Aja naya kura siknubhayou?
NP_080.wav,आज दिन कस्तो बित्यो नि?,Aja din kasto bityo ni?
NP_081.wav,तपाईंलाई नेपाली बोल्दा कति सजिलो लाग्छ?,Tapaaeinlai Nepali bolda kati sajilo laagchha?
NP_082.wav,तपाईंले घरमा प्रायः नेपालीमै कुरा गर्नुहुन्छ?,Tapaaeinle gharma prayah Nepali mai kura garnuhunchha?
NP_083.wav,तपाईं विदेशबाट नेपाल कति पटक आउनु हुन्छ?,Tapaaein bideshbaat Nepal kati patak aaunu hunchha?
NP_084.wav,तपाईं अहिले कुन देशमा बस्नुहुन्छ?,Tapaaein ahile kun desh ma basnuhunchha?
NP_085.wav,परिवारसँग कुरा गर्दा कस्तो फिल हुन्छ?,Parivaar sanga kura garda kasto feel hunchha?
NP_086.wav,तपाईंले आज कसैलाई फोन गर्नुभएको छ?,Tapaaeinle aja kasailai phone garnu bhayeko chha?
NP_087.wav,आज कुनै रोचक समाचार सुन्नुभयो?,Aja kunai rochak samachar sunnubhayou?
NP_088.wav,अहिले इन्टरनेटको स्पीड कस्तो छ?,Ahile internet ko speed kasto chha?
NP_089.wav,तपाईंले आज exercise गर्नुभयो?,Tapaaeinle aja exercise garnubhayou?
NP_090.wav,स्वास्थ्य कस्तो छ अहिले?,Swasthya kasto chha ahile?
NP_091.wav,अहिले निद्रा ठिक लागेको छ?,Ahile nidra thik laageko chha?
NP_092.wav,काम र जीवनको balance कस्तो छ?,Kaam ra jivan ko balance kasto chha?
NP_093.wav,आज केक, मिठाई वा खास खानेकुरा खाउनुभयो?,Aja cake, mithai wa khaas khanekura khaunubhayou?
NP_094.wav,आज परिवारसँग कति समय बिताउनुभयो?,Aja parivaar sanga kati samaya bitaaunubhayou?
NP_095.wav,आज दिनमा सबैभन्दा राम्रो क्षण कुन थियो?,Aja dinma sabbhandaa ramro kshan kun thiyo?
NP_096.wav,आज दिनमा सबैभन्दा गाह्रो क्षण कुन थियो?,Aja dinma sabbhandaa gahro kshan kun thiyo?
NP_097.wav,आज तपाईँलाई कसैले सहयोग गरेको अनुभव भयो?,Aja tapaaeinlai kasailai sahayog gareko anubhav bhayo?
NP_098.wav,तपाईंले आज अरूलाई के सहयोग गर्नुभयो?,Tapaaeinle aja arulai ke sahayog garnubhayou?
NP_099.wav,आज आफ्नो लक्ष्यतिर कति नजिक पुगेको महसुस भयो?,Aja aafno lakshya tira kati najik pugeko mahsoos bhayo?
NP_100.wav,भोलि बिहान उठ्दा आफूलाई के भन्न चाहनुहुन्छ?,Bholi bihaan uthda aafulai ke bhanna chahanuhunchha?
NP_101.wav,एक,ek
NP_102.wav,दुई,dui
NP_103.wav,तीन,tiin
NP_104.wav,चार,chaar
NP_105.wav,पाँच,paanch
NP_106.wav,दश,dash
NP_107.wav,बीस,bees
NP_108.wav,पचास,pachaas
NP_109.wav,सय,saya
NP_110.wav,हजार,hazaar
NP_111.wav,आईतबार,Aaitabar
NP_112.wav,सोमबार,Somabar
NP_113.wav,बुधबार,Budhabar
NP_114.wav,शुक्रबार,Shukrabar
NP_115.wav,शनिबार,Shanibar
NP_116.wav,जनवरी,January
NP_117.wav,फेब्रुअरी,February
NP_118.wav,मार्च,March
NP_119.wav,अप्रिल,April
NP_120.wav,डिसेम्बर,December
NP_121.wav,बुबा,bubaa
NP_122.wav,आमा,aamaa
NP_123.wav,दिदी,didi
NP_124.wav,दाइ,daai
NP_125.wav,भाइ,bhai
NP_126.wav,बहिनी,bahini
NP_127.wav,घर,ghar
NP_128.wav,स्कूल,school
NP_129.wav,अस्पताल,aspataal
NP_130.wav,कार्यालय,kaaryalaya
NP_131.wav,बस,bus
NP_132.wav,ट्याक्सी,taxi
NP_133.wav,विमान,bimaan
NP_134.wav,काठमाडौँ,Kathmandu
NP_135.wav,ललितपुर,Lalitpur
NP_136.wav,पोखरा,Pokhara
NP_137.wav,नमस्कार,namaskaar
NP_138.wav,धन्यवाद,dhanyabaad
NP_139.wav,कृपया,kripayaa
NP_140.wav,ठिक छ,thik chha
NP_141.wav,सन्चै छु,sanchai chhu
NP_142.wav,भोक लाग्यो,bhok laagyo
NP_143.wav,तिरसना लागेको,tiresanaa laageko
NP_144.wav,थकाइ लाग्यो,thakaai laagyo
NP_145.wav,सुत्न मन लागेको,sutna man laageko
NP_146.wav,खुसी छु,khusi chhu
NP_147.wav,दुःखी छु,dukkhi chhu
NP_148.wav,जाने बेला भयो,jane bela bhayo
NP_149.wav,फेरि भेटौँला,pheri bhetaunla
NP_150.wav,शुभरात्रि,shubha raatri
