filename,type,transcript,romanized
NP_082.wav,sentence,तपाईंले घरमा प्रायः नेपालीमै कुरा गर्नुहुन्छ?,Tapaaeinle gharma prayah Nepali mai kura garnuhunchha?
NP_083.wav,sentence,तपाईं विदेशबाट नेपाल कति पटक आउनु हुन्छ?,Tapaaein bideshbaat Nepal kati patak aaunu hunchha?
NP_084.wav,sentence,तपाईं अहिले कुन देशमा बस्नुहुन्छ?,Tapaaein ahile kun desh ma basnuhunchha?
NP_085.wav,sentence,परिवारसँग कुरा गर्दा कस्तो फिल हुन्छ?,Parivaar sanga kura garda kasto feel hunchha?
NP_086.wav,sentence,तपाईंले आज कसैलाई फोन गर्नुभएको छ?,Tapaaeinle aja kasailai phone garnu bhayeko chha?
NP_087.wav,sentence,आज कुनै रोचक समाचार सुन्नुभयो?,Aja kunai rochak samachar sunnubhayou?
NP_088.wav,sentence,अहिले इन्टरनेटको स्पीड कस्तो छ?,Ahile internet ko speed kasto chha?
NP_089.wav,sentence,तपाईंले आज exercise गर्नुभयो?,Tapaaeinle aja exercise garnubhayou?
NP_090.wav,sentence,स्वास्थ्य कस्तो छ अहिले?,Swasthya kasto chha ahile?
NP_091.wav,sentence,अहिले निद्रा ठिक लागेको छ?,Ahile nidra thik laageko chha?
NP_092.wav,sentence,काम र जीवनको balance कस्तो छ?,Kaam ra jivan ko balance kasto chha?
NP_093.wav,sentence,आज केक, मिठाई वा खास खानेकुरा खाउनुभयो?,Aja cake, mithai wa khaas khanekura khaunubhayou?
NP_094.wav,sentence,आज परिवारसँग कति समय बिताउनुभयो?,Aja parivaar sanga kati samaya bitaaunubhayou?
NP_095.wav,sentence,आज दिनमा सबैभन्दा राम्रो क्षण कुन थियो?,Aja dinma sabbhandaa ramro kshan kun thiyo?
NP_096.wav,sentence,आज दिनमा सबैभन्दा गाह्रो क्षण कुन थियो?,Aja dinma sabbhandaa gahro kshan kun thiyo?
NP_097.wav,sentence,आज तपाईँलाई कसैले सहयोग गरेको अनुभव भयो?,Aja tapaaeinlai kasailai sahayog gareko anubhav bhayo?
NP_098.wav,sentence,तपाईंले आज अरूलाई के सहयोग गर्नुभयो?,Tapaaeinle aja arulai ke sahayog garnubhayou?
NP_099.wav,sentence,आज आफ्नो लक्ष्यतिर कति नजिक पुगेको महसुस भयो?,Aja aafno lakshya tira kati najik pugeko mahsoos bhayo?
NP_100.wav,sentence,भोलि बिहान उठ्दा आफूलाई के भन्न चाहनुहुन्छ?,Bholi bihaan uthda aafulai ke bhanna chahanuhunchha?
NP_101.wav,word,एक,ek
NP_102.wav,word,दुई,dui
NP_103.wav,word,तीन,tiin
NP_104.wav,word,चार,chaar
NP_105.wav,word,पाँच,paanch
NP_106.wav,word,दश,dash
NP_107.wav,word,बीस,bees
NP_108.wav,word,पचास,pachaas
NP_109.wav,word,सय,saya
NP_110.wav,word,हजार,hazaar
NP_111.wav,word,आईतबार,Aaitabar
NP_112.wav,word,सोमबार,Somabar
NP_113.wav,word,बुधबार,Budhabar
NP_114.wav,word,शुक्रबार,Shukrabar
NP_115.wav,word,शनिबार,Shanibar
NP_116.wav,word,जनवरी,January
NP_117.wav,word,फेब्रुअरी,February
NP_118.wav,word,मार्च,March
NP_119.wav,word,अप्रिल,April
NP_120.wav,word,डिसेम्बर,December
NP_121.wav,word,बुबा,bubaa
NP_122.wav,word,आमा,aamaa
NP_123.wav,word,दिदी,didi
NP_124.wav,word,दाइ,daai
NP_125.wav,word,भाइ,bhai
NP_126.wav,word,बहिनी,bahini
NP_127.wav,word,घर,ghar
NP_128.wav,word,स्कूल,school
NP_129.wav,word,अस्पताल,aspataal
NP_130.wav,word,कार्यालय,kaaryalaya
NP_131.wav,word,बस,bus
NP_132.wav,word,ट्याक्सी,taxi
NP_133.wav,word,विमान,bimaan
NP_134.wav,word,काठमाडौँ,Kathmandu
NP_135.wav,word,ललितपुर,Lalitpur
NP_136.wav,word,पोखरा,Pokhara
NP_137.wav,word,नमस्कार,namaskaar
NP_138.wav,word,धन्यवाद,dhanyabaad
NP_139.wav,word,कृपया,kripayaa
NP_140.wav,word,ठिक छ,thik chha
NP_141.wav,word,सन्चै छु,sanchai chhu
NP_142.wav,word,भोक लाग्यो,bhok laagyo
NP_143.wav,word,तिरसना लागेको,tiresanaa laageko
NP_144.wav,word,थकाइ लाग्यो,thakaai laagyo
NP_145.wav,word,सुत्न मन लागेको,sutna man laageko
NP_146.wav,word,खुसी छु,khusi chhu
NP_147.wav,word,दुःखी छु,dukkhi chhu
NP_148.wav,word,जाने बेला भयो,jane bela bhayo
NP_149.wav,word,फेरि भेटौँला,pheri bhetaunla
NP_150.wav,word,शुभरात्रि,shubha raatri
